Block Size (KB),Throughput (MiB/s),Time (ms),
4096,2920,100,
4096,3000,200,
4096,3000,300,
4096,3000,400,
4096,3000,500,
4096,3040,600,
4096,3040,700,
4096,3040,801,
4096,2989.9,900,
4096,3000,1000,
4096,2960,1100,
4096,3040,1200,
4096,3040,1300,
4096,3040,1401,
4096,3030.3,1500,
4096,3040,1600,
4096,3040,1700,
4096,3040,1800,
4096,3040,1900,
4096,3040,2000,
4096,3040,2100,
4096,3080,2200,
4096,3000,2300,
4096,3030.3,2400,
4096,3040,2500,
4096,3040,2600,
4096,3040,2700,
4096,3080,2800,
4096,3000,2900,
4096,2960,3000,
4096,3030.3,3100,
4096,3000,3200,
4096,3040,3300,
4096,3040,3400,
4096,2960,3500,
4096,2960,3600,
4096,3040,3700,
4096,3040,3800,
4096,2909.09,3900,
4096,3000,4000,
4096,3040,4100,
4096,3000,4200,
4096,3040,4300,
4096,3040,4400,
4096,3000,4500,
4096,2989.9,4600,
4096,3040,4700,
4096,3000,4800,
4096,3040,4900,
4096,3040,5000,
4096,3000,5100,
4096,3040,5201,
4096,2989.9,5300,
4096,3040,5400,
4096,3080,5500,
4096,2920,5600,
4096,3080,5700,
4096,3000,5800,
4096,2989.9,5900,
4096,3040,6000,
4096,3040,6100,
4096,3000,6200,
4096,3040,6300,
4096,3040,6400,
4096,3040,6500,
4096,3080,6600,
4096,3000,6700,
4096,3040,6801,
4096,3030.3,6900,
4096,3040,7000,
4096,3040,7100,
4096,2960,7200,
4096,3040,7300,
4096,3000,7400,
4096,3000,7500,
4096,3080,7600,
4096,2960,7700,
4096,3040,7801,
4096,3070.71,7900,
4096,3040,8000,
4096,3080,8100,
4096,3040,8200,
4096,3040,8300,
4096,3040,8400,
4096,3040,8500,
4096,2960,8600,
4096,3040,8700,
4096,3040,8800,
4096,3080,8900,
4096,2880,9001,
4096,2989.9,9100,
4096,3000,9200,
4096,3040,9300,
4096,3000,9400,
4096,3040,9500,
4096,2960,9600,
4096,2960,9700,
4096,3040,9800,
4096,3030.3,9900,
4096,3000,10000,
4096,3040,10100,
4096,3120,10200,
4096,3080,10300,
4096,3120,10400,
4096,3080,10500,
4096,3000,10600,
4096,3040,10700,
4096,3120,10800,
4096,3000,10900,
4096,3040,11000,
4096,2989.9,11100,
4096,3120,11200,
4096,3080,11300,
4096,3080,11400,
4096,3120,11500,
4096,3120,11600,
4096,3120,11700,
4096,3080,11800,
4096,2949.49,11900,
4096,3080,12000,
4096,3040,12100,
4096,3040,12200,
4096,3040,12300,
4096,3040,12400,
4096,2960,12500,
4096,3070.71,12600,
4096,3080,12700,
4096,3120,12800,
4096,3120,12900,
4096,3080,13000,
4096,2960,13100,
4096,3000,13200,
4096,3040,13300,
4096,3030.3,13400,
4096,3000,13500,
4096,3040,13600,
4096,3040,13700,
4096,3120,13800,
4096,3080,13901,
4096,3070.71,14000,
4096,3120,14100,
4096,3080,14200,
4096,3080,14300,
4096,3120,14400,
4096,3000,14500,
4096,3040,14600,
4096,3040,14701,
4096,3111.11,14800,
4096,3120,14900,
4096,3080,15000,
4096,3080,15100,
4096,3080,15200,
4096,3120,15300,
4096,3120,15400,
4096,3040,15500,
4096,3030.3,15600,
4096,3040,15700,
4096,3120,15800,
4096,3080,15900,
4096,3080,16000,
4096,3120,16100,
4096,3080,16200,
4096,3120,16300,
4096,3111.11,16400,
4096,3080,16500,
4096,3080,16600,
4096,3120,16700,
4096,3080,16800,
4096,2960,16900,
4096,3040,17000,
4096,3080,17100,
4096,3120,17200,
4096,3080,17300,
4096,3111.11,17400,
4096,3040,17500,
4096,2960,17600,
4096,3040,17700,
4096,3080,17800,
4096,2960,17900,
4096,2960,18000,
4096,3040,18100,
4096,3040,18200,
4096,3080,18300,
4096,3030.3,18400,
4096,3040,18500,
4096,3040,18600,
4096,3040,18700,
4096,3040,18800,
4096,2960,18901,
4096,2989.9,19000,
4096,3040,19100,
4096,3040,19200,
4096,3040,19300,
4096,3080,19400,
4096,3120,19500,
4096,2989.9,19600,
4096,3040,19700,
4096,3040,19800,
4096,2960,19900,
4096,3000,20000,
4096,3080,20100,
4096,3040,20200,
4096,3120,20300,
4096,3070.71,20400,
4096,3080,20500,
4096,3120,20600,
4096,3080,20700,
4096,3120,20800,
4096,3080,20900,
4096,3080,21000,
4096,3120,21100,
4096,3080,21200,
4096,3120,21301,
4096,3070.71,21400,
4096,3120,21500,
4096,3000,21600,
4096,3040,21700,
4096,3040,21800,
4096,3030.3,21900,
4096,3040,22000,
4096,3000,22100,
4096,2920,22200,
4096,2960,22300,
4096,3080,22400,
4096,3040,22500,
4096,3030.3,22600,
4096,3040,22700,
4096,3000,22800,
4096,2960,22900,
4096,3040,23000,
4096,3040,23100,
4096,3040,23200,
4096,3040,23300,
4096,3030.3,23400,
4096,3040,23500,
4096,3040,23600,
4096,3040,23700,
4096,3080,23800,
4096,2960,23901,
4096,3030.3,24000,
4096,3080,24100,
4096,3040,24200,
4096,3040,24300,
4096,3040,24400,
4096,3000,24500,
4096,3030.3,24600,
4096,3040,24700,
4096,3040,24800,
4096,3000,24900,
4096,3040,25000,
4096,3040,25100,
4096,3040,25201,
4096,3030.3,25300,
4096,3040,25400,
4096,3040,25500,
4096,3040,25600,
4096,3040,25700,
4096,3040,25800,
4096,3030.3,25900,
4096,3000,26000,
4096,3080,26100,
4096,3040,26200,
4096,1960,26300,
4096,1440,26400,
4096,1560,26501,
4096,1575.76,26600,
4096,1560,26700,
4096,1560,26800,
4096,1480,26900,
4096,1480,27000,
4096,1440,27101,
4096,1535.35,27200,
4096,1560,27300,
4096,1600,27400,
4096,1560,27500,
4096,1520,27600,
4096,1400,27701,
4096,1494.95,27800,
4096,1480,27900,
4096,1560,28000,
4096,1520,28100,
4096,1560,28201,
4096,1494.95,28300,
4096,1480,28400,
4096,1440,28500,
4096,1440,28600,
4096,1520,28700,
4096,1520,28800,
4096,1535.35,28900,
4096,1560,29000,
4096,1480,29100,
4096,1440,29200,
4096,1480,29300,
4096,1440,29400,
4096,1560,29501,
4096,1535.35,29600,
4096,1520,29700,
4096,1520,29800,
4096,1440,29900,
4096,1480,30000,
4096,1480,30101,
4096,1494.95,30200,
4096,1560,30300,
4096,1520,30400,
4096,1520,30500,
4096,1480,30600,
4096,1440,30701,
4096,1454.54,30800,
4096,1080,30900,
4096,1080,31000,
4096,1520,31100,
4096,1560,31201,
4096,1535.35,31300,
4096,1480,31400,
4096,1440,31500,
4096,1480,31600,
4096,1440,31700,
4096,1080,31800,
4096,1131.31,31900,
4096,1520,32000,
4096,1520,32100,
4096,1480,32200,
4096,1440,32300,
4096,1454.54,32400,
4096,1520,32500,
4096,1560,32600,
4096,1480,32700,
4096,1520,32800,
4096,1480,32901,
4096,1454.54,33000,
4096,1480,33100,
4096,1480,33200,
4096,1520,33300,
4096,1560,33400,
4096,1560,33501,
4096,1535.35,33600,
4096,1400,33700,
4096,1480,33800,
4096,1440,33900,
4096,1560,34000,
4096,1520,34101,
4096,1535.35,34200,
4096,1520,34300,
4096,1480,34400,
4096,1440,34500,
4096,1440,34600,
4096,1520,34701,
4096,1535.35,34800,
4096,1560,34900,
4096,1520,35000,
4096,1520,35100,
4096,1400,35200,
4096,1440,35301,
4096,1494.95,35400,
4096,1560,35500,
4096,1560,35600,
4096,1560,35700,
4096,1480,35800,
4096,1454.54,35900,
4096,1400,36000,
4096,1480,36100,
4096,1520,36200,
4096,1560,36300,
4096,1560,36401,
4096,1494.95,36500,
4096,1480,36600,
4096,1440,36700,
4096,1480,36800,
4096,1480,36900,
4096,1560,37000,
4096,1535.35,37100,
4096,1560,37200,
4096,1480,37300,
4096,1440,37400,
4096,1440,37500,
4096,1400,37600,
4096,1520,37701,
4096,1575.76,37800,
4096,1560,37900,
4096,1520,38000,
4096,1480,38100,
4096,1400,38200,
4096,1480,38300,
4096,1494.95,38400,
4096,1560,38500,
4096,1560,38600,
4096,1520,38700,
4096,1520,38800,
4096,1373.74,38900,
4096,1440,39000,
4096,1520,39100,
4096,1520,39200,
4096,1560,39300,
4096,1560,39401,
4096,1494.95,39500,
4096,1480,39600,
4096,1440,39700,
4096,1440,39800,
4096,1520,39900,
4096,1560,40001,
4096,1575.76,40100,
4096,1520,40200,
4096,1480,40300,
4096,1440,40400,
4096,1480,40501,
4096,1494.95,40600,
4096,1560,40700,
4096,1560,40800,
4096,1520,40900,
4096,1520,41000,
4096,1414.14,41100,
4096,1480,41200,
4096,1480,41300,
4096,1520,41400,
4096,1560,41500,
4096,1535.35,41600,
4096,1480,41700,
4096,1480,41800,
4096,1440,41900,
4096,1440,42000,
4096,1480,42100,
4096,1560,42201,
4096,1575.76,42300,
4096,1520,42400,
4096,1520,42500,
4096,1440,42600,
4096,1440,42701,
4096,1494.95,42800,
4096,1520,42900,
4096,1560,43000,
4096,1560,43100,
4096,1520,43200,
4096,1400,43300,
4096,1454.54,43400,
4096,1480,43500,
4096,1440,43600,
4096,1560,43700,
4096,1560,43800,
4096,1520,43900,
4096,1480,44000,
4096,1440,44100,
4096,1480,44200,
4096,1480,44300,
4096,1560,44401,
4096,1494.95,44500,
4096,1480,44600,
4096,1560,44700,
4096,1400,44800,
4096,1480,44900,
4096,1440,45000,
4096,1560,45101,
4096,1575.76,45200,
4096,1520,45300,
4096,1480,45400,
4096,1440,45500,
4096,1400,45600,
4096,1440,45701,
4096,1575.76,45800,
4096,1560,45900,
4096,1560,46000,
4096,1520,46100,
4096,1480,46201,
4096,1454.54,46300,
4096,1440,46400,
4096,1480,46500,
4096,1520,46600,
4096,1560,46700,
4096,1520,46801,
4096,1494.95,46900,
4096,1440,47000,
4096,1480,47100,
4096,1440,47201,
4096,1535.35,47300,
4096,1560,47400,
4096,1560,47500,
4096,1480,47600,
4096,1440,47700,
4096,1440,47800,
4096,1454.54,47900,
4096,1520,48000,
4096,1520,48100,
4096,1560,48200,
4096,1560,48300,
4096,1480,48401,
4096,1414.14,48500,
4096,1440,48600,
4096,1520,48700,
4096,1520,48800,
4096,1560,48900,
4096,1560,49000,
4096,1494.95,49100,
4096,1440,49200,
4096,1440,49300,
4096,1360,49400,
4096,1560,49500,
4096,1560,49600,
4096,1560,49700,
4096,1520,49801,
4096,1494.95,49900,
4096,1400,50000,
4096,1440,50100,
4096,1520,50200,
4096,1520,50300,
4096,1600,50401,
4096,1535.35,50500,
4096,1480,50600,
4096,1440,50700,
4096,1400,50800,
4096,1454.54,50900,
4096,1560,51000,
4096,1560,51100,
4096,1560,51200,
4096,1520,51300,
4096,1440,51400,
4096,1440,51501,
4096,1494.95,51600,
4096,1480,51700,
4096,1560,51800,
4096,1560,51900,
4096,1560,52000,
4096,1494.95,52100,
4096,1440,52200,
4096,1480,52300,
4096,1480,52400,
4096,1520,52500,
4096,1560,52601,
4096,1535.35,52700,
4096,1520,52800,
4096,1440,52900,
4096,1480,53000,
4096,1440,53100,
4096,1520,53200,
4096,1600,53301,
4096,1535.35,53400,
4096,1480,53500,
4096,1480,53600,
4096,1440,53700,
4096,1480,53800,
4096,1480,53900,
4096,1560,54001,
4096,1575.76,54100,
4096,1520,54200,
4096,1480,54300,
4096,1440,54400,
4096,1480,54500,
4096,1480,54601,
4096,1494.95,54700,
4096,1600,54800,
4096,1480,54900,
4096,1560,55000,
4096,1440,55100,
4096,1440,55200,
4096,1480,55301,
4096,1414.14,55400,
4096,1600,55500,
4096,1560,55600,
4096,1520,55700,
4096,1480,55800,
4096,1440,55901,
4096,1454.54,56000,
4096,1480,56100,
4096,1560,56200,
4096,1520,56300,
4096,1520,56400,
4096,1480,56500,
4096,1414.14,56600,
4096,1440,56700,
4096,1480,56800,
4096,1520,56900,
4096,1560,57000,
4096,1560,57100,
4096,1520,57200,
4096,1440,57301,
4096,1414.14,57400,
4096,1440,57500,
4096,1520,57600,
4096,1560,57700,
4096,1560,57800,
4096,1535.35,57900,
4096,1480,58000,
4096,1400,58100,
4096,1440,58200,
4096,1480,58301,
4096,1575.76,58400,
4096,1560,58500,
4096,1520,58600,
4096,1520,58700,
4096,1400,58800,
4096,1480,58900,
4096,1440,59000,
4096,1535.35,59100,
4096,1560,59200,
4096,1520,59300,
4096,1520,59400,
4096,1480,59500,
4096,1400,59600,
4096,1440,59701,
4096,1535.35,59800,
4096,1520,59900,
4096,1560,60000,
